"Bus stop","Full name in kana","Route / Line",Latitude,Longitude
生駒市立病院,イコマシリツビョウイン,光陽台線,34.690778,135.711408
生駒市役所,イコマシヤクショ,光陽台線,34.691786,135.700303
生駒駅南口,イコマエキミナミグチ,光陽台線,34.692905,135.697561
生駒駅北口,イコマエキキタグチ,光陽台線,34.693595,135.696986
芸術会館,ゲイジュツカイカン,光陽台線,34.696245,135.694844
西松ヶ丘5番,ニシマツガオカゴバン,光陽台線,34.697507,135.692662　　
西松ヶ丘児童公園,ニシマツガオカジドウコウエン,光陽台線,34.699224,135.692101
西松ヶ丘15番,ニシマツガオカジュウゴバン,光陽台線,34.700027,135.691033
光陽台口,コウヨウダイグチ,光陽台線,34.699302,135.689588
光陽台中央公園,コウヨウダイチュウオウコウエン,光陽台線,34.699634,135.688051
光陽台東公園,コウヨウダイヒガシコウエン,光陽台線,34.699917,135.689118
西松ヶ丘16番,ニシマツガオカジュウロクバン,光陽台線,34.69982,135.691881
西松ヶ丘12番,ニシマツガオカジュウニバン,光陽台線,34.699908,135.693726
俵口西,タワラグチニシ,光陽台線,34.700364,135.695258
東松ヶ丘5番,ニシマツガオカゴバン,光陽台線,34.699926,135.696489
東松ヶ丘2番,ヒガシマツガオカニバン,光陽台線,34.697518,135.696097
生駒駅北口,イコマエキキタグチ,光陽台線,34.693595,135.696986
生駒駅南口,イコマエキミナミグチ,光陽台線,34.692905,135.697561
生駒市役所,イコマシヤクショ,光陽台線,34.691786,135.700303
生駒市立病院,イコマシリツビョウイン,光陽台線,34.690778,135.711408
生駒駅南口,イコマエキミナミグチ,門前線,34.692755,135.696865
健民グランド,ケンミングランド,門前線,34.68914,135.692504
市民プール,シミンプール,門前線,34.690168,135.691044
クラヴィエマンション,クラヴィエマンション,門前線,34.689426,135.690883
市民体育館,シミンタイイクカン,門前線,34.687964,135.689808
梅寿荘,バイジュソウ,門前線,34.686894,135.688951
門前駐在所,モンゼンチュウザイショ,門前線,34.685564,135.688772
清風寺,セイフウジ,門前線,34.682862,135.689432
門前町南,モンゼンチョウミナミ,門前線,34.681787,135.691168
門前町児童公園入口,モンゼンチョウジドウコウエンイリグチ,門前線,34.684651,135.691612
フローラルマンション,フローラルマンション,門前線,34.686295,135.692795
メゾンドールマンション,メゾンドールマンション,門前線,34.68793,135.694799
山崎新町,ヤマザキシンマチ,門前線,34.689333,135.695457
セイセイビル,セイセイビル,門前線,34.692096,135.698346
生駒駅南口,イコマエキミナミグチ,門前線,34.692755,135.696865
生駒市立病院,イコマシリツビョウイン,北新町線,34.694267,135.694937
生駒市役所,イコマシヤクショ,北新町線,34.694508,135.693524
セイセイビル,セイセイビル,北新町線,34.694884,135.693187
生駒駅南口,イコマエキミナミグチ,北新町線,34.695041,135.69226
生駒駅北口,イコマエキキタグチ,北新町線,34.695529,135.689633
三勝園,サンショウエン,北新町線,34.694267,135.694937
北原川,キタハラガワ,北新町線,34.694508,135.693524
緑の丘,ミドリノオカ,北新町線,34.694884,135.693187
百合ケ丘,ユリガオカ,北新町線,34.695041,135.69226
奥薬師台,オクヤクシダイ,北新町線,34.695529,135.689633
薬師台,ヤクシダイ,北新町線,34.695098,135.690005
百合ケ丘,ユリガオカ,北新町線,34.695041,135.69226
緑の丘,ミドリノオカ,北新町線,34.694884,135.693187
北原川,キタハラガワ,北新町線,34.694508,135.693524
三勝園,サンショウエン,北新町線,34.694267,135.694937
生駒駅北口,イコマエキキタグチ,北新町線,34.695529,135.689633
生駒駅南口,イコマエキミナミグチ,北新町線,34.695041,135.69226
セイセイビル,セイセイビル,北新町線,34.694884,135.693187
生駒市役所,イコマシヤクショ,北新町線,34.694508,135.693524
生駒市立病院,イコマシリツビョウイン,北新町線,34.694267,135.694937
南コミュニティセンターせせらぎ,ミナミコミュニティーセンターセセラギ,有里線・西畑線,34.665928,135.70707
マックスバリュ生駒南店,マックスバリュイコマミナミテン,有里線・西畑線,34.661596,135.707299
神田橋西,カンダバシニシ,有里線・西畑線,34.663523,135.709414
南生駒駅,ミナミイコマエキ,有里線・西畑線,34.665032,135.708789
田口クリニック,タグチクリニック,有里線・西畑線,34.669819,135.70734
南中学校,ミナミチュウガッコウ,有里線・西畑線,34.66753,135.705343
美努岡萬墓,ミノノオカマロノハカ,有里線・西畑線,34.66699,135.70239
青山台中央公園,アオヤマダイチュウコウエン,有里線・西畑線,34.667647,135.701035
青山台第3公園,アオヤマダイダイサンコウエン,有里線・西畑線,34.66885,135.70214
