都道府県コード又は市区町村コード,NO,都道府県名,市区町村名,名称,名称_カナ,種別,住所,方書,緯度,経度,アクセス方法,駐車場情報,電話番号,内線番号,FAX番号,法人番号,団体名,認可等年月日,収容定員,受入年齢,利用可能曜日,開始時間,終了時間,利用可能日時特記事項,一時預かりの有無,URL,備考
292095,,奈良県,生駒市,鹿ノ台佐保保育園,シカノダイサホホイクエン,,奈良県生駒市鹿ノ台北2-2-6,,34.73943167,135.7466776,,,0743-78-3973,,0743-78-3973,,,,,,月火水木金土,07:00,19:30,土曜日は15時45分まで,,http://www.ans.co.jp/n/shikanodaisaho/,
292095,,奈良県,生駒市,にじ保育園,ニジホイクエン,,奈良県生駒市白庭台6-12-1,,34.721716,135.716343,,,0743-71-3399,,0743-71-3399,,,,,,月火水木金土,07:30,19:30,土曜日は18時30分まで,,,
292095,,奈良県,生駒市,学研まゆみ保育園,ガッケンマユミホイクエン,,奈良県生駒市真弓南1-14-1,,34.7192157,135.7297365,,,0743-71-2005,,0743-71-2004,,,,,,月火水木金土,07:00,20:00,土曜日は18時00分まで,,http://www.ans.co.jp/n/mayumi/,
292095,,奈良県,生駒市,あすかの保育園,アスカノホイクエン,,奈良県生駒市あすか野南2-1-25,,34.71155505,135.7188306,,,0743-78-4010,,0743-78-4080,,,,,,月火水木金土,07:30,19:30,土曜日は18時30分まで,,http://asukano.hozanji-wel.org/,
292095,,奈良県,生駒市,阪奈中央病児こぐま園,ハンナチュウオウビョウジコグマエン,,奈良県生駒市俵口町471,,34.7069024,135.6974038,,,0743-74-0800,,0743-74-7798,,,,,,月火水木金土,07:30,19:30,日曜日は第1、３日曜日のみ,,http://kuriokagakuen.ac.jp/kogumaen,
292095,,奈良県,生駒市,ひがし保育園,ヒガシホイクエン,,奈良県生駒市辻町22,,34.69877632,135.7109614,,,0743-73-6446,,0743-73-8972,,,,,,月火水木金土,07:00,19:30,土曜日は18時00分まで,,http://www.city.ikoma.lg.jp/0000001536.html,
292095,,奈良県,生駒市,ソフィア谷田保育園,ソフィアタニダホイクエン,,奈良県生駒市谷田町875-1,,34.695615,135.700472,,,0743-61-5011,,,,,,,,月火水木金土,07:30,19:30,,,,
292095,,奈良県,生駒市,いちぶちどりキッズたにだ,イチブチドリキッズタニダ,,奈良県生駒市谷田町359-3,パストラル生駒1階,34.693624,135.702389,,,0743-85-5118,,0743-85-5118,,,,,,月火水木金土,07:30,18:30,,,http://www.chidori.or.jp/facility/hoiku_ichibu_kidstanida/,
292095,,奈良県,生駒市,中保育園,ナカホイクエン,,奈良県生駒市東新町8-28,,34.691671,135.699536,,,0743-74-5570,,0743-74-8547,,,,,,月火水木金土,07:00,19:30,土曜日は18時00分まで,,http://www.city.ikoma.lg.jp/0000001495.html,
292095,,奈良県,生駒市,キッズ・ガーデン,キッズ・ガーデン,,奈良県生駒市北新町11-1,AOIアートビル102,34.69131171,135.6974676,,,0743-73-1500,,0743-73-1500,,,,,,月火水木金土,07:30,18:30,,,http://www.r-kusuri.jp/kidsgarden/,
